data_in, valid_in, data_out, valid_out
[0 0 0 0], 0, [0], 0
[0 0 0 0], 0, [0], 0
[0 0 0 0], 0, [0], 0
[0 0 0 0], 0, [0], 0
[0 0 0 0], 0, [0], 0
[0 0 0 0], 0, [0], 0
[0 1 2 3], 1, [0], 0
[0 0 0 0], 0, [0], 1
[0 0 0 0], 0, [1], 1
[0 0 0 0], 0, [2], 1
[4 5 6 7], 1, [3], 1
[0 0 0 0], 0, [4], 1
[0 0 0 0], 0, [5], 1
[0 0 0 0], 0, [6], 1
[8 9 10 11], 1, [7], 1
[0 0 0 0], 0, [8], 1
[0 0 0 0], 0, [9], 1
[0 0 0 0], 0, [10], 1
[12 13 14 15], 1, [11], 1
[0 0 0 0], 0, [12], 1
[0 0 0 0], 0, [13], 1
[0 0 0 0], 0, [14], 1
[16 17 18 19], 1, [15], 1
[0 0 0 0], 0, [16], 1
[0 0 0 0], 0, [17], 1
[0 0 0 0], 0, [18], 1
[20 21 22 23], 1, [19], 1
[0 0 0 0], 0, [20], 1
[0 0 0 0], 0, [21], 1
[0 0 0 0], 0, [22], 1
[24 25 26 27], 1, [23], 1
[0 0 0 0], 0, [24], 1
[0 0 0 0], 0, [25], 1
[0 0 0 0], 0, [26], 1
[28 29 30 31], 1, [27], 1
[0 0 0 0], 0, [28], 1
[0 0 0 0], 0, [29], 1
[0 0 0 0], 0, [30], 1
[32 33 34 35], 1, [31], 1
[0 0 0 0], 0, [32], 1
[0 0 0 0], 0, [33], 1
[0 0 0 0], 0, [34], 1
[36 37 38 39], 1, [35], 1
[0 0 0 0], 0, [36], 1
[0 0 0 0], 0, [37], 1
[0 0 0 0], 0, [38], 1
[40 41 42 43], 1, [39], 1
[0 0 0 0], 0, [40], 1
[0 0 0 0], 0, [41], 1
[0 0 0 0], 0, [42], 1
[44 45 46 47], 1, [43], 1
[0 0 0 0], 0, [44], 1
[0 0 0 0], 0, [45], 1
[0 0 0 0], 0, [46], 1
[48 49 50 51], 1, [47], 1
[0 0 0 0], 0, [48], 1
[0 0 0 0], 0, [49], 1
[0 0 0 0], 0, [50], 1
[52 53 54 55], 1, [51], 1
[0 0 0 0], 0, [52], 1
[0 0 0 0], 0, [53], 1
[0 0 0 0], 0, [54], 1
[56 57 58 59], 1, [55], 1
[0 0 0 0], 0, [56], 1
[0 0 0 0], 0, [57], 1
[0 0 0 0], 0, [58], 1
[60 61 62 63], 1, [59], 1
[0 0 0 0], 0, [60], 1
[0 0 0 0], 0, [61], 1
[0 0 0 0], 0, [62], 1
[0 0 0 0], 0, [63], 1
